file_path,runtime_criticality,hotspot_type,evidence,impact_estimate,fix_cost,priority_score
core/pipeline.py,高,async,"L83:async def process( | L112:await status_callback(""init"", TaskStatus.PROCESSING, context.task_id) | L120:context = await module.process(context)",L,S,94
frontend/src/stores/translate.js,高,network,L9:const eventSource = ref(null) | L60:if (eventSource.value) return | L63:eventSource.value = new EventSource(url),L,S,94
app/routes/translate.py,高,async,L65:async def _register_chapter_job(chapter_key: str) -> None: | L87:async def _unregister_chapter_job(chapter_key: str) -> None: | L92:async def broadcast_event(data: dict):,L,M,88
core/ai_translator.py,高,network,L6:- Gemini (Google OpenAI 兼容 API) | L16:from openai import OpenAI | L30:# 启用 OpenAI SDK 详细日志（显示重试原因）,L,M,88
core/modules/ocr.py,高,async,"L155:async def process(self, context: TaskContext) -> TaskContext: | L217:context.regions = await self.engine.detect_and_recognize( | L305:prev_bottom_regions = await self.engine.detect_and_recognize_band(",L,M,88
core/modules/upscaler.py,高,IO,"L150:self.binary_path = Path(binary_path) if binary_path else None | L164:return Path(env_path) | L166:return Path(""tools/bin/realesrgan-ncnn-vulkan"")",L,M,88
core/vision/ocr/paddle_engine.py,高,async,"L95:async def recognize( | L101:return await loop.run_in_executor( | L155:async def detect_and_recognize(self, image_path: str) -> list[RegionData]:",L,M,88
core/vision/tiling.py,高,CPU,L2:Tiling Manager - Dynamic image slicing for long manga pages. | L5:- Overlapping tile creation | L20:class Tile:,L,M,88
core/modules/translator.py,高,async,"L301:async def _detect_bubble_boxes(image_path: str) -> list[Box2D] | None: | L311:regions = await detector.detect(image_path) | L608:async def process(self, context: TaskContext) -> TaskContext:",L,L,82
app/routes/manga.py,中,async,"L46:async def list_manga(settings=Depends(get_settings)): | L113:async def list_chapters(manga_id: str, settings=Depends(get_settings)): | L171:async def get_chapter_details(",M,S,59
app/routes/parser.py,中,async,"L68:async def parse_list(payload: ParseListRequest) -> ParserListResponse: | L75:catalog_items, catalog_warnings = await _list_recognized_catalog( | L85:html = await anyio.to_thread.run_sync(fetch_html, payload.url, payload.mode)",M,S,59
app/routes/system.py,中,IO,"L51:ocr_cache_dir = Path(os.getenv(""OCR_RESULT_CACHE_DIR"", ""temp/ocr_cache"")).expanduser() | L79:""data_dir"": str(Path(settings.data_dir).expanduser().resolve()), | L80:""output_dir"": str(Path(settings.output_dir).expanduser().resolve()),",M,S,59
core/crosspage_carryover.py,中,IO,"L8:self.path = Path(path) | L35:with self.path.open(""a"", encoding=""utf-8"") as f: | L37:f.write(json.dumps(item, ensure_ascii=False) + ""\n"")",M,S,59
core/crosspage_pairing.py,中,CPU,L11:xs = [r.box_2d.x1 for r in group if r.box_2d] | L12:ys = [r.box_2d.y1 for r in group if r.box_2d] | L13:xe = [r.box_2d.x2 for r in group if r.box_2d],M,S,59
core/crosspage_processor.py,中,CPU,"L14:for bottom_group, top_group in pairs: | L16:[r.source_text for r in bottom_group + top_group if r.source_text] | L24:for region in group:",M,S,59
core/image_io.py,中,IO,L87:index_path.write_text( | L88:json.dumps( | L113:out_path = _normalize_suffix(Path(path)),M,S,59
core/logging_config.py,中,IO,"L17:Path(_env_log_dir).expanduser() | L19:else Path(__file__).parent.parent / ""logs"" | L30:fallback = Path(os.getenv(""MANHUA_LOG_DIR_FALLBACK"", ""/tmp/manhua-logs""))",M,S,59
core/metrics.py,中,CPU,"L4:Records timing information for each stage and sub-operation. | L14:""""""Metrics for a single pipeline stage."""""" | L31:""""""Complete metrics for a pipeline run.""""""",M,S,59
core/model_setup.py,中,async,L40:async def _maybe_await(value): | L42:return await value | L50:async def warmup(self):,M,S,59
core/modules/base.py,中,CPU,L2:Base module interface for all pipeline stages. | L16:Abstract base class for all pipeline modules. | L28:name: Optional module name for logging/debugging,M,S,59
core/modules/inpainter.py,中,IO,"L50:base_dir = Path(os.getenv(""MANHUA_TEMP_DIR"", output_dir)) | L60:fallback_base = Path(""/tmp/manhua-temp"") | L91:with Image.open(context.image_path) as img:",M,S,59
